step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
F,,4,F4,breve,80640,2,1,6
F,,4,F4,whole,40320,3,1,6
F,,4,F4,breve,80640,1,2,6
F,,4,F4,whole,40320,2,2,6
C,,5,C5,breve,80640,1,3,6
C,,5,C5,whole,40320,2,3,6
C,,5,C5,breve,80640,1,4,6
B,-1,4,B[-1]4,whole,40320,2,4,6
B,-1,4,B[-1]4,breve,80640,1,5,6
B,-1,4,B[-1]4,whole,40320,2,5,6
B,-1,4,B[-1]4,breve,80640,1,6,6
C,,5,C5,whole,40320,2,6,6
A,,4,A4,whole,40320,1,7,6
G,,4,G4,breve,80640,2,7,6
F,,4,F4,breve,120960,1,8,6
