step,alteration,octave,pitch,type,duration,measureCount,voice
A,,4,A4,half,2.0,0,2400778451360
A,,4,A4,half,2.0,1,2400778451360
A,,4,A4,half,2.0,1,2400778451360
A,,4,A4,half,2.0,1,2400778451360
B,,4,B4,half,2.0,1,2400778451360
C,0,5,C5,half,3.0,2,2400778451360
B,,4,B4,quarter,1.0,2,2400778451360
A,,4,A4,half,2.0,2,2400778451360
G,0,4,G4,quarter,1.0,2,2400778451360
F,1,4,F[1]4,quarter,1.0,2,2400778451360
G,0,4,G4,whole,4.0,3,2400778451360
E,,4,E4,whole,4.0,3,2400778451360
rest,,,rest,half,2.0,4,2400778451360
G,1,4,G[1]4,half,2.0,4,2400778451360
A,,4,A4,half,2.0,5,2400778451360
B,,4,B4,whole,4.0,5,2400778451360
A,,4,A4,half,2.0,5,2400778451360
A,,4,A4,half,2.0,6,2400778451360
G,1,4,G[1]4,half,2.0,6,2400778451360
A,,4,A4,whole,4.0,7,2400778451360
rest,,,rest,half,2.0,7,2400778451360
A,,4,A4,half,2.0,7,2400778451360
A,,4,A4,half,2.0,8,2400778451360
A,,4,A4,half,2.0,8,2400778451360
A,,4,A4,half,2.0,8,2400778451360
B,,4,B4,half,2.0,8,2400778451360
C,0,5,C5,half,3.0,9,2400778451360
B,,4,B4,quarter,1.0,9,2400778451360
A,,4,A4,half,2.0,9,2400778451360
G,0,4,G4,quarter,1.0,9,2400778451360
F,1,4,F[1]4,quarter,1.0,9,2400778451360
G,0,4,G4,whole,4.0,10,2400778451360
E,,4,E4,whole,4.0,10,2400778451360
rest,,,rest,half,2.0,11,2400778451360
G,1,4,G[1]4,half,2.0,11,2400778451360
A,,4,A4,half,2.0,12,2400778451360
B,,4,B4,whole,4.0,12,2400778451360
A,,4,A4,half,2.0,12,2400778451360
A,,4,A4,half,2.0,13,2400778451360
G,1,4,G[1]4,half,2.0,13,2400778451360
A,,4,A4,whole,4.0,14,2400778451360
rest,,,rest,half,2.0,14,2400778451360
B,,4,B4,half,2.0,14,2400778451360
B,,4,B4,half,2.0,15,2400778451360
B,,4,B4,half,2.0,15,2400778451360
B,,4,B4,half,2.0,15,2400778451360
A,,4,A4,half,2.0,15,2400778451360
D,,5,D5,half,3.0,16,2400778451360
C,0,5,C5,quarter,1.0,16,2400778451360
B,,4,B4,half,2.0,16,2400778451360
A,,4,A4,quarter,1.0,16,2400778451360
G,0,4,G4,quarter,1.0,16,2400778451360
A,,4,A4,whole,4.0,17,2400778451360
G,0,4,G4,whole,4.0,17,2400778451360
rest,,,rest,half,2.0,18,2400778451360
G,1,4,G[1]4,half,2.0,18,2400778451360
B,,4,B4,whole,4.0,19,2400778451360
G,0,4,G4,half,2.0,19,2400778451360
D,,5,D5,half,2.0,19,2400778451360
D,,5,D5,half,2.0,20,2400778451360
C,0,5,C5,half,2.0,20,2400778451360
D,,5,D5,half,3.0,21,2400778451360
C,0,5,C5,quarter,1.0,21,2400778451360
B,,4,B4,half,2.0,21,2400778451360
A,,4,A4,quarter,1.0,21,2400778451360
G,0,4,G4,quarter,1.0,21,2400778451360
A,,4,A4,whole,4.0,22,2400778451360
rest,,,rest,half,2.0,22,2400778451360
D,,5,D5,half,2.0,22,2400778451360
A,,4,A4,half,2.0,23,2400778451360
A,,4,A4,half,2.0,23,2400778451360
A,,4,A4,half,2.0,23,2400778451360
B,,4,B4,half,2.0,23,2400778451360
C,0,5,C5,half,3.0,24,2400778451360
B,,4,B4,quarter,1.0,24,2400778451360
A,,4,A4,half,2.0,24,2400778451360
G,0,4,G4,quarter,1.0,24,2400778451360
F,1,4,F[1]4,quarter,1.0,24,2400778451360
G,0,4,G4,whole,4.0,25,2400778451360
E,,4,E4,whole,4.0,25,2400778451360
rest,,,rest,half,2.0,26,2400778451360
G,1,4,G[1]4,half,2.0,26,2400778451360
A,,4,A4,half,2.0,27,2400778451360
B,,4,B4,whole,4.0,27,2400778451360
A,,4,A4,half,2.0,27,2400778451360
A,,4,A4,half,2.0,28,2400778451360
G,1,4,G[1]4,half,2.0,28,2400778451360
A,,4,A4,whole,6.0,29,2400778451360
rest,,,rest,half,2.0,29,2400778451360
