step,alteration,octave,pitch,type,duration,measureCount,voice
E,,4,E4,quarter,1.0,0,Tenor
E,,4,E4,quarter,1.0,1,Tenor
D,,4,D4,quarter,1.0,1,Tenor
E,,4,E4,quarter,1.0,1,Tenor
D,,4,D4,eighth,0.5,1,Tenor
C,,4,C4,eighth,0.5,1,Tenor
B,,3,B3,quarter,1.0,2,Tenor
C,,4,C4,eighth,0.5,2,Tenor
D,,4,D4,eighth,0.5,2,Tenor
E,,4,E4,quarter,1.0,2,Tenor
F,0,4,F4,quarter,1.0,2,Tenor
E,,4,E4,quarter,1.0,3,Tenor
E,,4,E4,eighth,0.5,3,Tenor
D,,4,D4,eighth,0.5,3,Tenor
C,,4,C4,quarter,1.0,3,Tenor
D,,4,D4,quarter,1.0,3,Tenor
G,1,3,G[1]3,eighth,0.5,4,Tenor
A,,3,A3,quarter,1.0,4,Tenor
G,1,3,G[1]3,eighth,0.5,4,Tenor
C,,4,C4,quarter,1.0,4,Tenor
A,,3,A3,quarter,1.0,4,Tenor
G,,3,G3,eighth,0.5,5,Tenor
A,,3,A3,eighth,0.5,5,Tenor
B,,3,B3,quarter,1.0,5,Tenor
B,,3,B3,quarter,1.0,5,Tenor
B,,3,B3,eighth,0.5,5,Tenor
A,,3,A3,eighth,0.5,5,Tenor
B,,3,B3,quarter,1.0,6,Tenor
C,,4,C4,quarter,1.0,6,Tenor
F,1,3,F[1]3,quarter,1.0,6,Tenor
B,,3,B3,quarter,1.0,6,Tenor
A,,3,A3,quarter,1.0,7,Tenor
A,,4,A4,quarter,1.0,7,Tenor
G,1,4,G[1]4,quarter,1.0,7,Tenor
E,,4,E4,eighth,0.5,7,Tenor
D,,4,D4,eighth,0.5,7,Tenor
C,,4,C4,quarter,1.0,8,Tenor
B,,3,B3,quarter,1.0,8,Tenor
C,,4,C4,quarter,1.0,8,Tenor
C,,4,C4,quarter,1.0,8,Tenor
B,,3,B3,quarter,1.0,9,Tenor
A,,3,A3,quarter,1.0,9,Tenor
A,,3,A3,quarter,1.0,9,Tenor
B,-1,3,B[-1]3,quarter,1.0,9,Tenor
A,,3,A3,eighth,0.5,10,Tenor
E,,3,E3,eighth,0.5,10,Tenor
F,1,3,F[1]3,quarter,1.0,10,Tenor
G,1,3,G[1]3,quarter,1.0,10,Tenor
