trigram,frequency,probability
G4-B[-1]4-B4,16,0.000998876264202772
B[-1]4-B4-C5,20,0.001248595330253465
B4-C5-C5,36,0.002247471594456237
C5-C5-D5,87,0.005431389686602572
C5-D5-D5,62,0.003870645523785741
D5-D5-Rest,19,0.0011861655637407916
D5-Rest-D5,40,0.00249719066050693
Rest-D5-D5,41,0.002559620427019603
D5-D5-D5,149,0.009302035210388313
D5-D5-E5,18,0.0011237357972281184
D5-E5-F5,35,0.0021850418279435635
E5-F5-D5,16,0.000998876264202772
F5-D5-D5,9,0.0005618678986140592
F5-D5-E[-1]5,2,0.0001248595330253465
D5-E[-1]5-D5,5,0.0003121488325633662
E[-1]5-D5-Rest,5,0.0003121488325633662
Rest-D5-C5,24,0.0014983143963041578
D5-C5-B[-1]4,165,0.010300911474591085
C5-B[-1]4-D5,2,0.0001248595330253465
B[-1]4-D5-B[-1]4,2,0.0001248595330253465
D5-B[-1]4-B4,5,0.0003121488325633662
B[-1]4-B4-Rest,1,6.242976651267325e-05
B4-Rest-B4,8,0.000499438132101386
Rest-B4-B4,9,0.0005618678986140592
B4-B4-B4,23,0.0014358846297914845
B4-B4-C5,17,0.001061306030715445
C5-B[-1]4-B4,6,0.00037457859907603946
B[-1]4-B4-B4,5,0.0003121488325633662
B4-B4-A4,39,0.0024347608939942565
B4-A4-G4,151,0.00942689474341366
A4-G4-Rest,134,0.008365588712698215
G4-Rest-D5,14,0.0008740167311774254
D5-D5-C5,114,0.00711699338244475
C5-B[-1]4-Rest,10,0.0006242976651267324
B[-1]4-Rest-D5,1,6.242976651267325e-05
Rest-D5-E[-1]5,1,6.242976651267325e-05
E[-1]5-D5-D5,5,0.0003121488325633662
D5-D5-B[-1]4,18,0.0011237357972281184
D5-B[-1]4-C5,21,0.001311025096766138
B[-1]4-C5-D5,70,0.004370083655887127
C5-D5-Rest,24,0.0014983143963041578
D5-Rest-C5,12,0.0007491571981520789
Rest-C5-B[-1]4,13,0.0008115869646647522
B[-1]4-B4-G4,3,0.00018728929953801973
B4-G4-G4,9,0.0005618678986140592
G4-G4-E4,7,0.0004370083655887127
G4-E4-F[1]4,3,0.00018728929953801973
E4-F[1]4-G4,14,0.0008740167311774254
F[1]4-G4-Rest,24,0.0014983143963041578
A4-A4-A4,150,0.009364464976900987
A4-A4-B4,44,0.0027469097265576227
A4-B4-C5,121,0.007554001748033463
B4-C5-A4,43,0.0026844799600449494
C5-A4-A4,55,0.003433637158197028
A4-A4-Rest,20,0.001248595330253465
A4-Rest-C5,22,0.0013734548632788114
Rest-C5-C[1]5,4,0.000249719066050693
C5-C[1]5-C[1]5,7,0.0004370083655887127
C[1]5-C[1]5-B4,9,0.0005618678986140592
C[1]5-B4-A4,46,0.002871769259582969
B4-A4-B4,53,0.003308777625171682
A4-B4-A4,44,0.0027469097265576227
B4-A4-A4,61,0.003808215757273068
A4-G4-F4,314,0.0196029466849794
G4-F4-E4,151,0.00942689474341366
F4-E4-E4,26,0.0016231739293295043
E4-E4-Rest,5,0.0003121488325633662
E4-Rest-A4,6,0.00037457859907603946
Rest-A4-A4,43,0.0026844799600449494
E4-Rest-E4,12,0.0007491571981520789
Rest-E4-E4,9,0.0005618678986140592
E4-E4-E4,16,0.000998876264202772
E4-E4-G4,12,0.0007491571981520789
E4-G4-G[1]4,6,0.00037457859907603946
G4-G[1]4-A4,6,0.00037457859907603946
G[1]4-A4-A4,10,0.0006242976651267324
A4-A4-G4,152,0.009489324509926332
F4-E4-C4,9,0.0005618678986140592
E4-C4-Rest,2,0.0001248595330253465
C4-Rest-C4,21,0.001311025096766138
Rest-C4-G4,5,0.0003121488325633662
C4-G4-G[1]4,2,0.0001248595330253465
G4-G[1]4-G4,1,6.242976651267325e-05
G[1]4-G4-G[1]4,4,0.000249719066050693
G4-G[1]4-E4,2,0.0001248595330253465
G[1]4-E4-D4,1,6.242976651267325e-05
E4-D4-C4,84,0.005244100387064552
D4-C4-Rest,39,0.0024347608939942565
G[1]4-A4-B4,11,0.0006867274316394057
B4-C5-B4,41,0.002559620427019603
C5-B4-A4,168,0.010488200774129104
F4-E4-A4,7,0.0004370083655887127
E4-A4-B4,10,0.0006242976651267324
E4-C4-D4,12,0.0007491571981520789
C4-D4-E4,30,0.0018728929953801972
D5-D5-F5,14,0.0008740167311774254
D5-F5-D5,7,0.0004370083655887127
Rest-D5-E5,10,0.0006242976651267324
D5-E5-E5,18,0.0011237357972281184
E5-E5-F5,10,0.0006242976651267324
E5-F5-E5,25,0.001560744162816831
F5-E5-E5,13,0.0008115869646647522
E5-E5-D5,37,0.0023099013609689098
E5-D5-D5,29,0.0018104632288675241
D5-F5-E5,25,0.001560744162816831
F5-E5-D5,95,0.005930827818703958
E5-D5-C5,125,0.007803720814084155
D5-C5-B4,106,0.006617555250343364
A4-A4-E4,17,0.001061306030715445
A4-E4-A4,10,0.0006242976651267324
E4-A4-A4,13,0.0008115869646647522
B4-C5-C[1]5,16,0.000998876264202772
C5-C[1]5-B4,21,0.001311025096766138
B4-A4-Rest,41,0.002559620427019603
Rest-C5-C5,59,0.003683356224247721
C5-C5-C[1]5,3,0.00018728929953801973
C[1]5-C[1]5-C[1]5,3,0.00018728929953801973
C[1]5-C[1]5-D5,3,0.00018728929953801973
C[1]5-D5-C5,4,0.000249719066050693
B4-A4-C5,6,0.00037457859907603946
A4-C5-B4,20,0.001248595330253465
A4-E4-E4,6,0.00037457859907603946
E4-E4-B4,2,0.0001248595330253465
E4-B4-D5,3,0.00018728929953801973
B4-D5-C5,10,0.0006242976651267324
A4-G4-G4,115,0.007179423148957423
G4-G4-G[1]4,1,6.242976651267325e-05
G[1]4-E4-C4,1,6.242976651267325e-05
C4-Rest-G[1]4,1,6.242976651267325e-05
Rest-G[1]4-G[1]4,1,6.242976651267325e-05
G[1]4-G[1]4-G[1]4,1,6.242976651267325e-05
G[1]4-G[1]4-G4,3,0.00018728929953801973
G4-G[1]4-G[1]4,5,0.0003121488325633662
G[1]4-G[1]4-A4,4,0.000249719066050693
G[1]4-A4-G4,2,0.0001248595330253465
G4-Rest-A4,22,0.0013734548632788114
Rest-A4-B4,6,0.00037457859907603946
A4-G4-A4,132,0.008240729179672867
G4-A4-E4,5,0.0003121488325633662
A4-E4-F4,3,0.00018728929953801973
E4-F4-E4,30,0.0018728929953801972
G4-G4-G4,146,0.009114745910850293
G4-G4-B4,15,0.0009364464976900986
G4-B4-G4,1,6.242976651267325e-05
B4-G4-D5,4,0.000249719066050693
G4-D5-D5,24,0.0014983143963041578
D5-E5-D5,42,0.002622050193532276
E5-D5-F5,3,0.00018728929953801973
F5-D5-E5,8,0.000499438132101386
E5-D5-Rest,18,0.0011237357972281184
Rest-D5-B4,2,0.0001248595330253465
D5-B4-B4,6,0.00037457859907603946
B4-C5-E5,3,0.00018728929953801973
C5-E5-D5,14,0.0008740167311774254
D5-B4-D5,1,6.242976651267325e-05
B4-D5-D5,11,0.0006867274316394057
D5-D5-B4,19,0.0011861655637407916
D5-B4-A4,17,0.001061306030715445
A4-Rest-A4,45,0.002809339493070296
Rest-A4-G4,13,0.0008115869646647522
G4-G4-A4,116,0.0072418529154700964
G4-A4-B4,65,0.004057934823323761
A4-Rest-D4,4,0.000249719066050693
Rest-D4-G4,7,0.0004370083655887127
D4-G4-G4,5,0.0003121488325633662
G4-A4-A4,106,0.006617555250343364
B4-C5-D5,76,0.004744662254963166
C5-A4-E4,3,0.00018728929953801973
A4-A4-C5,58,0.0036209264577350482
C5-B4-G4,12,0.0007491571981520789
B4-G4-E4,2,0.0001248595330253465
G4-E4-G4,5,0.0003121488325633662
E4-G4-A4,8,0.000499438132101386
G4-A4-G[1]4,2,0.0001248595330253465
A4-G[1]4-G[1]4,1,6.242976651267325e-05
A4-B4-G4,11,0.0006867274316394057
B4-G4-F[1]4,2,0.0001248595330253465
G4-F[1]4-E4,16,0.000998876264202772
F[1]4-E4-F[1]4,4,0.000249719066050693
E4-F[1]4-E4,3,0.00018728929953801973
F[1]4-E4-Rest,11,0.0006867274316394057
E4-Rest-C4,5,0.0003121488325633662
Rest-C4-D4,10,0.0006242976651267324
D4-E4-E4,10,0.0006242976651267324
E4-E4-F4,8,0.000499438132101386
E4-F4-G4,76,0.004744662254963166
F4-G4-A4,149,0.009302035210388313
A4-G[1]4-A4,21,0.001311025096766138
E4-E4-A4,11,0.0006867274316394057
E4-A4-G4,13,0.0008115869646647522
A4-E4-D4,3,0.00018728929953801973
C4-Rest-G4,1,6.242976651267325e-05
Rest-G4-F4,6,0.00037457859907603946
F4-E4-F[1]4,3,0.00018728929953801973
E4-F[1]4-G[1]4,2,0.0001248595330253465
